Date,ETHOpen,ETHHigh,ETHLow,volumeto,volumefrom,TBondsOpenValue,IndexFutures,InflationRateValue,UnemploymentValue,FedFundRateValue,GDP,SandPValue
2015-08-07,0.6747,3.0,0.6747,371.79,123.93,155.6875,98.29,0.17,5.1,0.14,17393.1,2093.0
2015-08-08,3.0,3.0,0.15,1438.16,2119.43,157.0,98.215,0.17,5.1,0.14,17393.1,2080.0
2015-08-09,1.2,1.2,1.2,0.0,0.0,157.0,98.215,0.17,5.1,0.14,17393.1,2080.0
2015-08-10,1.2,1.2,1.2,0.0,0.0,157.0,98.215,0.17,5.1,0.14,17393.1,2080.0
2015-08-11,1.2,1.2,0.6504,7419.73,9486.09,158.625,97.985,0.17,5.1,0.15,17393.1,2072.5
2015-08-12,0.99,1.29,0.905,2376.28,2140.46,156.875,97.54,0.17,5.1,0.15,17393.1,2101.3
2015-08-13,1.29,1.88,1.26,4923.22,3163.29,158.71875,97.495,0.17,5.1,0.15,17393.1,2080.8
2015-08-14,1.88,2.1,1.79,11070.41,5800.73,158.1875,96.69,0.17,5.1,0.14,17393.1,2083.0
2015-08-15,1.79,1.79,1.5,14812.75,8711.24,157.90625,96.655,0.17,5.1,0.14,17393.1,2079.8
2015-08-16,1.79,1.79,0.5,10794.95,9714.19,157.90625,96.655,0.17,5.1,0.14,17393.1,2079.8
2015-08-17,1.37,1.59,1.25,6063.99,4325.42,157.90625,96.655,0.17,5.1,0.15,17393.1,2079.8
2015-08-18,1.3,1.36,1.15,2867.74,2390.72,158.1875,96.885,0.17,5.1,0.15,17393.1,2089.7
2015-08-19,1.36,1.36,0.99,4769.3,4131.9,158.6875,97.2,0.17,5.1,0.15,17393.1,2098.3
2015-08-20,1.24,1.52,1.24,1771.6,1273.0,157.78125,97.265,0.17,5.1,0.15,17393.1,2093.2
2015-08-21,1.52,1.53,1.44,9197.39,6310.99,158.84375,96.805,0.17,5.1,0.15,17393.1,2073.1
2015-08-22,1.44,1.44,1.4,321.76,229.59,160.28125,96.125,0.17,5.1,0.15,17393.1,2027.0
2015-08-23,1.4,1.4,1.31,438.75,323.11,160.28125,96.125,0.17,5.1,0.15,17393.1,2027.0
2015-08-24,1.35,1.35,1.24,6460.83,5117.98,160.28125,96.125,0.17,5.1,0.15,17393.1,2027.0
2015-08-25,1.24,1.28,1.22,1188.35,938.92,160.875,95.235,0.17,5.1,0.15,17393.1,1967.4
2015-08-26,1.27,1.27,1.08,2337.47,2043.44,160.375,93.88,0.17,5.1,0.14,17393.1,1872.7
2015-08-27,1.18,1.19,1.14,269.07,230.3,158.875,94.105,0.17,5.1,0.14,17393.1,1867.6
2015-08-28,1.14,1.3,1.14,26922.13,20767.1,156.09375,95.505,0.17,5.1,0.14,17393.1,1941.7
2015-08-29,1.3,1.3,1.15,383.37,329.64,156.34375,96.1,0.17,5.1,0.14,17393.1,1987.5
2015-08-30,1.18,1.35,1.17,10975.8,8505.13,156.34375,96.1,0.17,5.1,0.14,17393.1,1987.5
2015-08-31,1.32,1.32,0.9,3959.42,3258.74,156.34375,96.1,0.17,5.1,0.08,17393.1,1987.5
2015-09-01,1.31,1.38,1.31,1220.61,894.21,156.25,96.42,0.195,5.1,0.14,17393.1,1986.1
2015-09-02,1.36,1.37,1.14,698.71,519.87,155.5625,96.16,0.195,5.0,0.14,17393.1,1962.3
2015-09-03,1.14,1.33,1.14,3717.92,2872.93,156.53125,95.74,0.195,5.0,0.14,17393.1,1912.0
2015-09-04,1.28,1.4,1.28,18.76,15.39,155.625,96.3,0.195,5.0,0.14,17393.1,1948.5
2015-09-05,1.23,1.37,1.23,10437.44,7881.76,156.0625,96.68,0.195,5.0,0.14,17393.1,1946.5
2015-09-06,1.37,1.39,1.34,145.64,111.78,156.0625,96.68,0.195,5.0,0.14,17393.1,1946.5
2015-09-07,1.34,1.34,1.28,526.2,393.9,156.0625,96.68,0.195,5.0,0.14,17393.1,1946.5
2015-09-08,1.28,1.28,1.26,103.93,82.23,156.0625,96.55,0.195,5.0,0.14,17393.1,1946.5
2015-09-09,1.26,1.26,1.21,27.57,21.42,157.21875,96.49,0.195,5.0,0.14,17393.1,1926.4
2015-09-10,1.21,1.21,1.12,3361.62,2866.95,155.875,96.14,0.195,5.0,0.14,17393.1,1965.0
2015-09-11,1.19,1.19,0.9242,3066.25,2877.26,155.8125,96.095,0.195,5.0,0.14,17393.1,1943.2
2015-09-12,0.9242,1.15,0.9242,513.1,509.27,155.25,95.685,0.195,5.0,0.14,17393.1,1945.5
2015-09-13,1.15,1.15,0.8837,3817.24,3917.32,155.25,95.685,0.195,5.0,0.14,17393.1,1945.5
2015-09-14,0.8856,0.9622,0.885,805.59,870.32,155.25,95.685,0.195,5.0,0.14,17393.1,1945.5
2015-09-15,0.955,1.0,0.804,2273.61,2558.87,156.125,95.385,0.195,5.0,0.14,17393.1,1961.5
2015-09-16,0.95,0.9563,0.9363,47.63,49.44,156.25,95.75,0.195,5.0,0.14,17393.1,1958.5
2015-09-17,0.9363,0.9363,0.8238,129.7,151.36,153.71875,95.985,0.195,5.0,0.14,17393.1,1979.5
2015-09-18,0.875,0.88,0.8523,593.31,684.62,153.59375,95.565,0.195,5.0,0.14,17393.1,1992.5
2015-09-19,0.8523,0.89,0.8013,3.59,4.32,155.125,94.89,0.195,5.0,0.14,17393.1,1976.0
