ETHOpen,ETHHigh,ETHLow,volumeto,volumefrom,TBondsOpenValue,IndexFutures,InflationRateValue,UnemploymentValue,FedFundRateValue,GDP,SandPValue,Date,BTCOpen,ETHOpenTM1,ETHOpenTM2,ETHOpenTM3,ETHOpenTM4,ETHOpenTM5,ETHOpenTM6,ETHOpenTM7,BTCOpenTM1,BTCOpenTM2,BTCOpenTM3,BTCOpenTM4,BTCOpenTM5,BTCOpenTM6,BTCOpenTM7,PrevHigh,PrevHigh2,PrevHigh3,PrevHigh4,PrevLow,PrevLow2,PrevLow3,PrevLow4,PrevVolTo,PrevVolTo2,PrevVolTo3,PrevVolTo4,PrevVolFrom,PrevVolFrom2,PrevVolFrom3,PrevVolFrom4,PrevSP,PrevSP2,PrevSP3,PrevSP4
228.58,233.92,214.05,225740686.88,1010028.21,153.875,97.41,2.2,4.3,0.83,18569.1,2415.9,2017-05-31,228.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.64,235.52,208.0,188744370.55,855293.22,154.6875,97.135,1.8719999999999999,4.3,0.91,18569.1,2411.0,2017-06-01,228.64,228.58,,,,,,,228.58,,,,,,,233.92,,,,214.05,,,,225740686.88,,,,1010028.21,,,,2415.9,,,
220.7,227.71,216.94,89635792.58,407207.46,154.96875,96.74,1.8719999999999999,4.4,0.91,18569.1,2413.1,2017-06-02,220.7,228.64,228.58,,,,,,228.64,228.58,,,,,,235.52,233.92,,,208.0,214.05,,,188744370.55,225740686.88,,,855293.22,1010028.21,,,2411.0,2415.9,,
222.04,226.41,218.79,55938007.46,253020.73,154.90625,96.96,1.8719999999999999,4.4,0.91,18569.1,2429.6,2017-06-03,222.04,220.7,228.64,228.58,,,,,220.7,228.64,228.58,,,,,227.71,235.52,233.92,,216.94,208.0,214.05,,89635792.58,188744370.55,225740686.88,,407207.46,855293.22,1010028.21,,2413.1,2411.0,2415.9,
224.3,249.34,223.88,123696111.28,519826.47,154.90625,96.96,1.8719999999999999,4.4,0.91,18569.1,2429.6,2017-06-04,224.3,222.04,220.7,228.64,228.58,,,,222.04,220.7,228.64,228.58,,,,226.41,227.71,235.52,233.92,218.79,216.94,208.0,214.05,55938007.46,89635792.58,188744370.55,225740686.88,253020.73,407207.46,855293.22,1010028.21,2429.6,2413.1,2411.0,2415.9
244.96,248.62,241.5,83061054.37,339404.76,154.90625,96.96,1.8719999999999999,4.4,0.91,18569.1,2429.6,2017-06-05,244.96,224.3,222.04,220.7,228.64,228.58,,,224.3,222.04,220.7,228.64,228.58,,,249.34,226.41,227.71,235.52,223.88,218.79,216.94,208.0,123696111.28,55938007.46,89635792.58,188744370.55,519826.47,253020.73,407207.46,855293.22,2429.6,2429.6,2413.1,2411.0
247.75,268.12,246.5,189040588.11,738103.3,156.28125,96.47,1.8719999999999999,4.4,0.91,18569.1,2434.0,2017-06-06,247.75,244.96,224.3,222.04,220.7,228.64,228.58,,244.96,224.3,222.04,220.7,228.64,228.58,,248.62,249.34,226.41,227.71,241.5,223.88,218.79,216.94,83061054.37,123696111.28,55938007.46,89635792.58,339404.76,519826.47,253020.73,407207.46,2429.6,2429.6,2429.6,2413.1
264.26,264.8,246.17,115588722.19,449467.44,155.6875,96.535,1.8719999999999999,4.4,0.91,18569.1,2433.0,2017-06-07,264.26,247.75,244.96,224.3,222.04,220.7,228.64,228.58,247.75,244.96,224.3,222.04,220.7,228.64,228.58,268.12,248.62,249.34,226.41,246.5,241.5,223.88,218.79,189040588.11,83061054.37,123696111.28,55938007.46,738103.3,339404.76,519826.47,253020.73,2434.0,2429.6,2429.6,2429.6
255.77,260.77,250.89,90124852.82,354113.99,156.375,96.315,1.8719999999999999,4.4,0.91,18569.1,2431.9,2017-06-08,255.77,264.26,247.75,244.96,224.3,222.04,220.7,228.64,264.26,247.75,244.96,224.3,222.04,220.7,228.64,264.8,268.12,248.62,249.34,246.17,246.5,241.5,223.88,115588722.19,189040588.11,83061054.37,123696111.28,449467.44,738103.3,339404.76,519826.47,2433.0,2434.0,2429.6,2429.6
259.41,279.14,259.36,121471877.23,451368.51,155.75,96.455,1.8719999999999999,4.4,0.91,18569.1,2431.4,2017-06-09,259.41,255.77,264.26,247.75,244.96,224.3,222.04,220.7,255.77,264.26,247.75,244.96,224.3,222.04,220.7,260.77,264.8,268.12,248.62,250.89,246.17,246.5,241.5,90124852.82,115588722.19,189040588.11,83061054.37,354113.99,449467.44,738103.3,339404.76,2431.9,2433.0,2434.0,2429.6
